Date;Forecast Value (MSCF); Forecast (MSCF) 
01/06/2023;8,118,421,991,272,520,000.00; 42,850.31 
02/06/2023;9,921,703,948,885,340,000.00; 44,937.64 
03/06/2023;6,627,798,722,772,330,000.00; 40,837.90 
04/06/2023;2,689,911,246,374,780,000.00; 32,976.24 
05/06/2023;9,461,460,518,612,530,000.00; 44,434.37 
06/06/2023;12,467,363,138,840,200,000.00; 47,438.34 
07/06/2023;11,907,537,331,037,500,000.00; 46,924.36 
08/06/2023;11,646,039,991,574,600,000.00; 46,677.94 
09/06/2023;12,794,809,915,380,800,000.00; 47,730.85 
10/06/2023;9,005,502,925,233,690,000.00; 43,917.01 
11/06/2023;4,671,099,043,105,000,000.00; 37,586.64 
12/06/2023;11,026,098,172,809,400,000.00; 46,076.41 
13/06/2023;13,712,426,346,182,600,000.00; 48,521.23 
14/06/2023;12,917,030,777,051,900,000.00; 47,838.57 
15/06/2023;12,459,921,799,349,500,000.00; 47,431.62 
16/06/2023;13,435,447,654,263,500,000.00; 48,287.02 
17/06/2023;9,546,314,309,417,880,000.00; 44,528.54 
18/06/2023;5,140,754,588,552,000,000.00; 38,450.27 
19/06/2023;11,347,709,412,820,000,000.00; 46,391.60 
20/06/2023;13,935,168,096,249,500,000.00; 48,706.97 
21/06/2023;13,085,541,400,193,800,000.00; 47,985.82 
22/06/2023;12,582,033,725,651,000,000.00; 47,541.43 
23/06/2023;13,507,191,767,843,600,000.00; 48,348.04 
24/06/2023;9,618,943,462,300,310,000.00; 44,608.63 
25/06/2023;5,224,989,389,975,680,000.00; 38,598.74 
26/06/2023;11,352,799,499,040,700,000.00; 46,396.53 
27/06/2023;13,897,869,078,620,600,000.00; 48,676.02 
28/06/2023;13,040,236,009,939,800,000.00; 47,946.38 
29/06/2023;12,528,377,208,255,300,000.00; 47,493.28 
30/06/2023;13,434,581,152,063,300,000.00; 48,286.28 
