DATE; FORECAST VOLUME (MSCF) 
01/06/2023; 42,850.31 
02/06/2023; 44,937.64 
03/06/2023; 40,837.90 
04/06/2023; 32,976.24 
05/06/2023; 44,434.37 
06/06/2023; 47,438.34 
07/06/2023; 46,924.36 
08/06/2023; 46,677.94 
09/06/2023; 47,730.85 
10/06/2023; 43,917.01 
11/06/2023; 37,586.64 
12/06/2023; 46,076.41 
13/06/2023; 48,521.23 
14/06/2023; 47,838.57 
15/06/2023; 47,431.62 
16/06/2023; 48,287.02 
17/06/2023; 44,528.54 
18/06/2023; 38,450.27 
19/06/2023; 46,391.60 
20/06/2023; 48,706.97 
21/06/2023; 47,985.82 
22/06/2023; 47,541.43 
23/06/2023; 48,348.04 
24/06/2023; 44,608.63 
25/06/2023; 38,598.74 
26/06/2023; 46,396.53 
27/06/2023; 48,676.02 
28/06/2023; 47,946.38 
29/06/2023; 47,493.28 
30/06/2023; 48,286.28 
