DATE,Forecast Inv
2023-06-01,42850.30653245337
2023-06-02,44937.638785471674
2023-06-03,40837.90217803596
2023-06-04,32976.243461121
2023-06-05,44434.36631101975
2023-06-06,47438.33512404782
2023-06-07,46924.357530629604
2023-06-08,46677.93781673975
2023-06-09,47730.85207754955
2023-06-10,43917.01289745315
2023-06-11,37586.64151943114
2023-06-12,46076.408747215544
2023-06-13,48521.22557300639
2023-06-14,47838.57197718262
2023-06-15,47431.61980643183
2023-06-16,48287.019142736644
2023-06-17,44528.53648004867
2023-06-18,38450.271913349294
2023-06-19,46391.59898987671
2023-06-20,48706.96626798332
2023-06-21,47985.82170597805
2023-06-22,47541.43317188082
2023-06-23,48348.03511140083
2023-06-24,44608.63395610712
2023-06-25,38598.73855260797
2023-06-26,46396.53235992015
2023-06-27,48676.02188358087
2023-06-28,47946.37532485353
2023-06-29,47493.281289369545
2023-06-30,48286.280694053086
2023-06-31,44557.6688273549
